RequirementText_string,Class
application shall match color schema set forth department homeland security ,LF
product shall consistent color scheme font ,LF
system shall intuitive self explanatory ,US
product shall easy realtor learn ,US
search result shall returned later thirty point zero second user entered search criterion ,PE
product shall generate cma report acceptable time ,PE
product shall achieve ninety-eight point zero uptime product shall fail two point zero available online time ,A
action modify existing dispute case must recorded case history ,L
product shall comply estimatics law relating recycled part usage ,L
product shall interface choiceparts system per day approximately one hundred point zero ,O
maintenance product fall within established corporate maintenance window ,O
one insurance company shall able view another insurance company claim data ,SE
product shall free computer virus ,SE
website shall achieve nine hundred and ninety-five point zero time ,A
streaming server support maximum seven hundred point zero movie new server added support movie ,SC
server support maximum one thousand point zero simultaneous user ,SC
washing parameter updated scheduled maintenance hour ,MN
product shall internet browser independent product must run using internet explorer netscape navigator ,MN
product shall robust product shall fault avoidance based standard adoption ,FT
product shall robust fault tolerance product shall fault tolerance using recovery technique compensatory transaction routing around failure ,FT
